Headline,LABEL
aaron rodgers said sandy hook shooting absolute tragedy thursday responding story alleging shared conspiracy theories about incident york jets quarterback debunking conspiracy theories just days after being named,Negative
about voters schools should alert parents their child wishes change gender name personal pronouns nearly read more post most voters support parental role when child explores gender transition school survey finds,Neutral
acped breakoff group from left leaning much larger american academy pediatrics which supports gender affirming care post american college pediatricians asserts gender affirming therapy beneficial youth first appeared,Positive
actors elliot page singers alanis morissette neil young sarah mclachlan carly jepsen elvis costello hundreds others entertainment industry have signed open letter against anti grooming policies canada post elliot page,Positive
adults declare change male female diverse without undergoing psychiatric assessment,Neutral
advice from dickinson,Neutral
affleck jennifer garner year daughter born seraphina rose reportedly came transgender grandfather funeral,Negative
after decades creating laws that assumed gender were synonymous lawmakers across country taking another look states define those terms scientific legal interpretations post what gender these,Positive
after record year anti lgbtq legislation state level year that threatens outdo lgbtq americans seeing negative impact their mental health quality life according survey from data progress,Negative
alabama resident sparked transphobic backlash against employee space rocket center space camp huntsville leading calls employee fired because transgender,Negative
alejandra caraballo transgender attorney clinical instructor harvard school cyberlaw clinic been permanently from formerly twitter amplifying news alleged nazi identity adding questions about platform,Neutral
almost generation women identify lgbtq according gallup survey could that possibly true well gallup survey which read more post unpacking lgbtq numbers appeared first daily signal,Positive
already least faith based school facing employment complaint department human rights because removal exemption,Negative
although polls show most americans support laws restrict drag performances lawmakers have considered enacted legislation this session that would prohibit businesses from allowing minors attend drag shows,Negative
american cancer society found that queer people frequently experience minority stress health care settings leading elevated prevalence cancer risk factors,Negative
among lgbtq community oklahoma recently attended owasso vigil bullied owasso teen benedict miranda searcy former tulsa resident describes herself queer native united keetoowah band cherokee indians oklah,Negative
andrea long says unpopular part loud,Neutral
andrew demillo salter associated press louis arguments before federal appeals court that considering whether reinstate arkansas first nation gender affirming care minors focused thursday whether,Positive
andrew milligan images getty images rowling reignited beef with harry potter stars daniel radcliffe emma watson over issue transgender identity rights author regularly uses platform espouse transphobic,Neutral
annemarie wiley addressed husband marcellus wiley alleged transphobic comments controversial political beliefs after exit from real housewives beverly hills happy address that annemarie said tuesday april,Neutral
arely westley this year recipient robert kennedy human rights award tells advocate about this crucial moment time queer immigrant communities,Positive
arguments before federal appeals court that considering whether reinstate arkansas first nation transgender care minors focused whether discriminates basis,Negative
arizona school board taken combative approach toward parents concerned over proposed curriculum policies focused education transgenderism these proposed read more post bring school board president challenges parents,Positive
arnold isaacs many politicians this moment think speak with regard truth reasonable argument post marjorie taylor greene deranged solution violence going people killed appeared first,Negative
attempts stay relevant rowling seemingly attacking harry potter stars daniel radcliffe emma watson supporting transgender rights,Neutral
attorneys major lgbtq rights groups firms allegedly tried steer litigation challenging alabama transgender health care restrictions away from trump appointed judge,Positive
author rowling appeared suggest that there forgiveness harry potter stars daniel radcliffe emma watson post rowling ready forgive harry potter stars daniel radcliffe emma watson vile transgender attacks appe,Negative
authorities oklahoma preparing release full autopsy report binary oklahoma teen died last month after altercation high school bathroom here what know what know about life death bene,Negative
authors parents must understand queer theory practiced schools they wish protect their children from marxist groomers attempt recruit them revolution poisoning their minds bodies post book review queering,Positive
back remember always known child father whole animated series watched every episode together liked related group heroes being ostracized being different,Positive
barnstorm people going flood timeline distraction game dawn staley says post women ncaa championship game coach endorses trans women playing basketball worries statement will distract video appeared,Negative
been letter week destroying gender narrative trans juggernaut just another speed bump fresh heels read more post trans juggernaut hits speedbump landmark study reveals transgender kids actually have,Negative
before transgender daughter suspended after using girls bathroom missouri high school before that dusty farr words full bigot when child just flipped switch says farr suing,Negative
benedict attacked their oklahoma high school found dead home next medical examiner office says nonbinary year died suicide their family questions,Negative
benedict death been ruled suicide shining renewed spotlight intensifying environment oklahoma schools anti lgbtq bullying,Negative
best offered screen donations from employee resource groups going lgbtq causes after pressure from conservative think tank filing shows,Positive
best will screen donations made ergs external organizations reason debate,Positive
biden declaration easter sunday being transgender visibility part massive scheme divide nation continually pitting group against another hitler same thing with jews german people this does help,Positive
biden department justice sued utah prison tuesday delay providing transgender identified inmate with change hormones,Negative
biden devout catholic resides pennsylvania avenue issued proclamation good friday christians remember jesus death read more post biden terrible horrible good very transgender easter fiasco,Negative
biden white house specifially banned religious themed from this year easter contest post gross evil biden white house disrespects easter appeared first breitbart,Negative
bill likely become soon activists those from lgbtq community more work needs done,Neutral
bill proposed limit high school athletes playing teams that match gender they were assigned birth republicans state have votes needed override veto,Neutral
bill risks exposing lgbtq children state religious abuse conversion therapy family rejection,Negative
bill that that would effectively transgender people louisiana from using restrooms locker rooms sleeping quarters that correspond with their gender identity advanced state legislative committee monday,Neutral
bill that that would transgender students from school bathrooms locker rooms sports teams that correspond with their gender identity failed friday enough votes advance heavily conservative nebraska,Negative
bills would transgender girls from girls sports team require teachers lgbtq students parents,Neutral
black transgender woman former worker unusual face harassment profiling from police regardless whether engaged work police frequently target transgender women like myself searches arrest,Negative
books that made america think,Neutral
britain national health service evaluating called gender affirming care treatments wake damning report which underscores change regime built weak unreliable evidence hilary cass british medical doct,Negative
british author blunt when questioned fans whether could forgive watson radcliffe they apologized previous criticism anti transgender comments,Negative
buenos aires argentina judges overseeing high profile human rights trial argentina convicted former officials crimes against humanity tuesday first case focus former military dictatorship overlooked practice committing,Neutral
cable news outlets couldn avoid covering rash anti transgender bills state legislatures they didn often feature trans people talking about subject according research from media matters america,Negative
caitlyn jenner tried roast biden trans support backfired time caitlyn jenner tried roast biden trans support backfired time,Negative
california capital city consider resolution making sanctuary city transgender people,Positive
california conservatives trying anti trans measures ballot november long shot still gives advocates reason worry,Negative
california courts system offers training that asks judges consider whether mother with objections using child pronouns should have custody,Neutral
california gives sanctuary kids seeking gender affirming care their families judge upheld against attack right wing church,Neutral
california that takes effect this summer will grant minors public insurance ability mental health treatment without their parents consent privilege that their peers with private insurance have years become,Positive
cardinal wilton gregory catholic archbishop washington said interview over weekend that president biden cafeteria catholic read more post archbishop biden cafeteria catholic appeared first,Neutral
carte forget sinful past left colonizing calendar longing more love before lead hope when doing anything warrior bride kindle deals more also carte october,Neutral
cartoon network whose animated programming caters primarily children young viewers publicly voiced support transgender visibility which took over easter sunday this year celebratory instagram post network offered,Positive
cass report challenges scientific basis medical transition minors,Positive
cass review independent audit gender affirming care provided national health service published today review provides recommendations should administer gender affirming care going forward concluding that,Positive
cassandra sanchez hampshire child advocate said legislation would threaten health safety intrinsic rights granite state lgbtq residents their families communities large,Negative
catholic archbishop wilton cardinal gregory called president biden quot cafeteria catholic quot appearing pick choose aspects faith,Negative
catholic church infinite dignity document largely reiteration opposition practices deems inconsistent with plan human life,Positive
caucuses groups republican legislators push their party further right issues such immigration voting access transgender restrictions,Neutral
cent rekindled feud with young buck again accused being drawing swift response from former unit soldier,Negative
ceuta spain around have declared gender change from male female maintained their name marital status thus continuing with their partner children since transgender came into effect last year them year,Neutral
change surgery minors could greatest ethical scandal history medicine post mayo clinic study raises serious questions about reversibility puberty blockers first appeared tion,Positive
charges will filed connection with fight that oklahoma teen benedict involved before they died tulsa county district attorney said,Negative
chasten buttigieg backing down continues call attention anti lgbtq atmosphere bullying that contributed death oklahoma teen benedict evocative lecture michigan state university department theatre buttig,Negative
children question their gender identity being down lack evidence toxic political debate according report wednesday from senior doctor england,Negative
children young years will still provided with cross hormones england national health service,Neutral
christian journalist brandon showalter joins today episode john henry westen show discuss horrific physical consequences changes stories detransitioners spiritual dimension this crisis more article john,Negative
christian post journalist brandon showalter appeared john henry westen show recently discuss transgender takeover america according showalter first encounter with world transgenderism that time showalter says,Neutral
city sacramento transgender sanctuary city believed first california vote this designation,Positive
comes into force next month already concerns raised around will enforced,Neutral
committees house representatives approved anti lgbtq bills thursday leading condemnation from lgbtq reps allies congressional equality caucus,Negative
concerns about selling misuse location data those seeking reproductive gender healthcare escalating amid recent wave cases incidents demonstrating that digital trail leave being used anti abortion activists,Negative
controversial proposal transgender women from female only spaces will debated after both tory labour were accused filibustering bill drawn truss,Negative
conversation with diana adams founder chosen family center mutual support future family,Positive
court texas blocked attorney general paxton demand that pflag national turn over information documents about support families texas seeking gender affirming medical care transgender youth,Neutral
cultural times hard traditional christians american evangelicalism proved fruitful target those both outside inside church want stir popular panic about christian nationalism racism homophobia other defi,Negative
current evidence base suggests that children present with gender incongruence young most likely desist before puberty,Neutral
daily caller issue full retraction easter sunday piece president biden after emerged publication hadn performed even most basic reporting outlet founded former news host tucker carlson political,Neutral
daniel radcliffe emma watson spoke against harry potter author stance gender identity,Neutral
data finds americans have become less supportive lgbtq nondiscrimination protections young lgbtq americans face more hostility than their straight counterparts,Negative
death benedict year nonbinary student died after fight school been ruled suicide oklahoma medical examiner office,Negative
death benedict year transgender student indigenous heritage from oklahoma used they them pronouns ignited nationwide debate several issues including rampant bullying faced lgbtq students schools,Negative
deciphered ancient texts learned math provided ideas about human consciousness,Neutral
declaring against reality might just crazy enough work,Negative
deep voiced male lawyer being jeered decision sexually display himself chested woman dress post watch year transgender lawyer stephanie mueller goes viral provocative courtroom outfit appeared first,Neutral
democratic casey pennsylvania requested given lgbtq center advocating transitioning children with history sexual abuse,Negative
democratic laura kelly actions series confrontations with republican supermajority legislature over those issues,Negative
democratic laura kelly also vetoed measure require more reporting from abortion providers what called vague bill making crime coerce someone into having abortion,Negative
democrats trying push through budget allocating organization that promotes chest binding tucking children,Neutral
despite pope francis calling catholics stop persecuting lesbian people vatican always lacked inclusivity lgbtq transgender individuals,Negative
direct opposition suspect claims transgender activists that children gender confused must have medical care that goes includes surgical body mutilations year study confirms that most those kids left alone,Negative
doctors have been urged return ordinary best practice involving medicalised methods such counselling when treating children young people with gender dysphoria speaking first harm conference london march clinical psych,Positive
document vatican says these practices grave violations human dignity,Negative
document which also goes after abortion surrogacy approved pope francis mixed record lgbtq rights support,Positive
easter weekend over would never know even happened based biden regime sacrilege instead acknowledging easter holiday biden people replaced with transgender visibility move that tommy tuberville,Positive
eclectic coalition fights this motherless baby enabling technology because violates rights both women children,Negative
